product_id,stock_on_hand
MKC0114-SNM-XXL,1
MKC0115-CDB-L,3
MKC0115-CDB-M,3
MKC0115-CDB-S,1
MKC0115-CDB-XL,2
MKC0115-CDB-XS,1
MKC0115-CDB-XXL,1
MKC0115-HLS-L,3
MKC0115-HLS-M,3
MKC0115-HLS-S,1
MKC0115-HLS-XL,2
MKC0115-HLS-XS,1
MKC0115-HLS-XXL,1
MKC0115-RMD-L,3
MKC0115-RMD-M,3
MKC0115-RMD-S,1
MKC0115-RMD-XL,2
MKC0115-RMD-XS,1
MKC0115-RMD-XXL,1
MKC0115-SNM-M,3
MKC0115-SNM-S,1
MKC0115-SNM-XS,1
MKC0115-SNM-L,3
MKC0115-SNM-XL,2
MKC0115-SNM-XXL,1
MKC0115-WHT-L,3
MKC0115-WHT-M,3
MKC0115-WHT-S,1
MKC0115-WHT-XL,2
MKC0115-WHT-XS,1
MKC0115-WHT-XXL,1
MKC0118-SWV-L,6
MKC0118-SWV-M,5
MKC0118-SWV-S,2
MKC0118-SWV-XL,3
MKC0118-SWV-XS,1
MKC0118-SWV-XXL,1
MKC0120-SWI-L,5
MKC0120-SWI-M,4
MKC0120-SWI-XL,2
MKC0120-SWI-XXL,1
MKC0122-OSR-L,5
MKC0122-OSR-M,4
MKC0122-OSR-S,2
MKC0122-OSR-XL,3
MKC0122-OSR-XS,1
MKC0122-OSR-XXL,1
MOC0010-DNM-L,3
MOC0010-DNM-M,3
MSC0004-FIS-L,2
MSC0004-FIS-M,2
MSC0004-FIS-S,1
MSC0004-FIS-XL,1
MSC0005-FIS-30,1
MSC0005-FIS-31,1
MSC0005-FIS-32,2
MSC0005-FIS-33,2
MSC0005-FIS-34,2
MSC0005-FIS-35,1
MSC0005-FIS-36,1
MSC0006-BRW-30,1
MSC0006-BRW-31,1
MSC0006-BRW-32,2
MSC0006-BRW-33,2
MSC0006-BRW-34,2
MSC0006-BRW-35,1
MSC0006-BRW-36,1
MSC0012-CCL-29,1
MSC0012-CCL-30,1
MSC0012-CCL-31,2
MSC0012-CCL-32,3
MSC0012-CCL-33,4
MSC0012-CCL-34,4
MSC0012-CCL-35,3
MSC0012-CCL-36,2
MSC0012-CCL-38,1
MSC0012-ICE-29,1
MSC0012-ICE-30,1
MSC0012-ICE-31,2
MSC0012-ICE-32,3
MSC0012-ICE-33,4
MSC0012-ICE-34,4
MSC0012-ICE-35,3
MSC0012-ICE-36,2
MSC0012-ICE-38,1
MSC0012-NVY-29,1
MSC0012-NVY-30,1
MSC0012-NVY-31,2
MSC0012-NVY-32,3
MSC0012-NVY-33,4
MSC0012-NVY-34,4
MSC0012-NVY-35,3
MSC0012-NVY-36,2
MSC0012-NVY-38,1
MSC0013-CCL-29,1
MSC0013-CCL-30,1
MSC0013-CCL-31,2
MSC0013-CCL-32,3
MSC0013-CCL-33,4
MSC0013-CCL-34,4
MSC0013-CCL-35,3
MSC0013-CCL-36,2
MSC0013-CCL-38,1
MSC0013-ICE-29,1
MSC0013-ICE-30,1
MSC0013-ICE-31,2
MSC0013-ICE-32,3
MSC0013-ICE-33,4
MSC0013-ICE-34,4
MSC0013-ICE-35,3
MSC0013-ICE-36,2
MSC0013-ICE-38,1
MSC0013-NVY-29,1
MSC0013-NVY-30,1
MSC0013-NVY-31,2
MSC0013-NVY-32,3
MSC0013-NVY-33,4
MSC0013-NVY-34,4
MSC0013-NVY-35,3
MSC0013-NVY-36,2
MSC0013-NVY-38,1
MSC0013-WBE-30,1
MSC0013-WBE-31,2
MSC0013-WBE-32,3
MSC0013-WBE-33,4
MSC0013-WBE-34,4
MSC0013-WBE-35,3
MSC0013-WBE-36,2
MSC0013-WBE-38,1
MWC0017-FSR-L,6
MWC0017-FSR-M,4
MWC0017-FSR-S,2
MWC0017-FSR-XL,3
MWC0017-FSR-XS,1
MWC0017-FSR-XXL,1
MWC0017-MNF-L,6
MWC0017-MNF-M,4
MWC0017-MNF-S,2
MWC0017-MNF-XL,3
MWC0017-MNF-XS,1
MWC0017-MNF-XXL,1
MWC0081-GCP-L,6
MWC0081-GCP-M,5
MWC0081-GCP-S,1
MWC0081-GCP-XL,3
MWC0081-GCP-XS,1
MWC0081-GCP-XXL,1
MWC0081-LBI-L,6
MWC0081-LBI-M,5
MWC0081-LBI-S,1
MWC0081-LBI-XL,3
MWC0081-LBI-XS,1
MWC0081-LBI-XXL,1
MWC0082-ATS-L,6
MWC0082-ATS-M,5
MWC0082-ATS-S,1
MWC0082-ATS-XL,3
MWC0082-ATS-XS,1
MWC0082-ATS-XXL,1
MXC0001-SHP-L,6
MXC0001-SHP-M,6
MXC0001-SHP-S,1
MXC0001-SHP-XL,3
MXC0001-SHP-XXL,1
MXC0002-WBT-XXL,1
MXC0006-WBK-L,4
MXC0006-WBK-M,4
MXC0006-WBK-S,1
MXC0006-WBK-XL,2
MXC0006-WBK-XXL,1
MXC0006-WHT-L,4
MXC0006-WHT-M,4
