product_id,stock_on_hand
MWU2117-PCH-S,2
MWU2117-PCH-XS,1
MWU2121-BRI-M,1
MWU2121-BRI-XS,1
MXC0001-CBF-L,1
MXC0001-CBF-M,1
MXC0001-CBF-XS,1
MXC0002-OMT-XS,1
MXC0002-OMT-XXL,3
MXS2105-SHP-L,2
MXS2105-SHP-M,1
SAMPLE-1-MUL-OS,38
SAMPLE-10-MUL-OS,37
SAMPLE-11-MUL-OS,10
SAMPLE-14-MUL-OS,29
SAMPLE-18-MUL-OS,41
SAMPLE-2-MUL-OS,54
SAMPLE-20-MUL-OS,8
SAMPLE-21-MUL-OS,11
SAMPLE-22-MUL-OS,23
SAMPLE-23-MUL-OS,57
SAMPLE-24-MUL-OS,14
SAMPLE-3-MUL-OS,175
SAMPLE-30-MUL-OS,104
SAMPLE-4-MUL-OS,24
SAMPLE-5-MUL-OS,28
SAMPLE-7-MUL-OS,6
SAMPLE-8-MUL-OS,1
SAMPLE-9-MUL-OS,8
UAC0102-SHI-OS,3
UAC0107-GGP-OS,2
UAC0110-BRT-OS,2
UAC0125-SBS-OS,1
UAC0127-MRP-OS,4
UAC0128-SPF-OS,4
UAC0129-SPF-OS,4
UAC0135-MNY-M,3
UAC0143-BGB-OS,1
UAC0200-SRP-OS,15
UAC0203-CHM-OS,3
UAT1649-GEA-OS,1
UAT1651-YOG-OS,1
UAT1652-SUR-OS,1
UAT1663-MRB-OS,1
UAT1689-JSS-OS,1
UAT1710-MUL-S,1
UAT1715-NVY-OS,1
UAT1718-NAT-OS,3
UAT1805-MUL-OS,1
UAT1810-MUL-OS,1
UAT1811-MUL-OS,1
UAT1813-MUL-OS,1
UAT1814-MUL-OS,1
UKC0012-FNY-XS,1
UKC0014-BIR-M,1
UKC0023-SPL-M,1
WAU2121-MPL-OS,10
WAU2122-CLM-OS,10
WBC0006-LIP-L,2
WBC0006-LIP-M,3
WBC0006-LIP-S,4
WBC0006-LIP-XL,1
WBC0006-LIP-XS,3
WBC0006-LIP-XXL,1
WBC0020-MIP-L,2
WBC0020-MIP-M,3
WBC0020-MIP-S,4
WBC0020-MIP-XL,1
WBC0020-MIP-XS,3
WBC0029-HBT-L,2
WBC0029-HBT-M,3
